municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 14:10:00.0;0,20;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 14:30:00.0;0,20;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 14:40:00.0;0,40;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 14:50:00.0;0,60;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 15:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 15:50:00.0;0,20;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 16:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 17:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 18:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 19:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 20:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 21:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 22:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 23:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-07 23:30:00.0;0,20;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 00:10:00.0;2,60;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 00:20:00.0;2,80;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 00:30:00.0;1,60;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 00:40:00.0;1,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 00:50:00.0;0,40;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 01:00:00.0;2,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 01:10:00.0;1,20;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 01:20:00.0;0,80;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 01:30:00.0;0,40;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 01:40:00.0;0,20;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 02:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 03:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 04:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 05:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 06:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 07:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 08:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 09:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 10:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 11:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 12:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 13:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 14:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 15:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 15:30:00.0;0,20;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 16:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 17:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 18:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 19:10:00.0;0,00;
